Termék neve;Kiszerelés neve;TK szám;Hatóanyag;Forg Eng Jog;ATC kód;A hiány kezdete;A hiány tervezett vége;A hiány oka;Javaslat a hiánykészítmény pótlására;
"ALEVE filmtabletta";"20 X   - buborékcsomagolásban";"OGYI-T-08021/03";"naproxen";"Bayer Hungária Kft.";"M01AE02";"2013-10-01 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ALEVE filmtabletta";"24 X   - buborékcsomagolásban";"OGYI-T-08021/05";"naproxen";"Bayer Hungária Kft.";"M01AE02";"2020-01-06 00:00:00";"2020-02-21 00:00:00";"Szállítási vagy raktározási gondok";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ALEVE filmtabletta";"7 X   - buborékcsomagolásban";"OGYI-T-08021/02";"naproxen";"Bayer Hungária Kft.";"M01AE02";"2013-10-01 00:00:00";"";"Gyártási gond";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ALEXAN 20 mg/ml oldatos injekció vagy infúzió";"10 X 5 ml injekciós üvegben";"OGYI-T-01176/01";"cytarabine";"Sandoz Hungária Kft.";"L01BC01";"2021-09-01 00:00:00";"2023-06-30 00:00:00";"Piaci megfontolások";"Ugyanaz a gyógyszer más hatáserõsségben elérhetõ";
"ALGOFLEX BABY 20 mg/ml belsõleges szuszpenzió";"1 X 100 ml üvegben";"OGYI-T-08933/08";"ibuprofen";"Opella Healthcare Commercial Kft.";"M01AE01";"2023-01-17 00:00:00";"2023-10-31 00:00:00";"Gyártási gond";"Azonos hatóanyag, azonos gyógyszerformában elérhetõ";
"ALGOFLEX DOLO 50 mg/g gél";"1 X 100 g Al tubusban";"OGYI-T-08933/14";"ibuprofen";"Opella Healthcare Commercial Kft.";"M02AA13";"2022-12-07 00:00:00";"2023-05-26 00:00:00";"Gyártási gond";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALGOFLEX RAPID MINI 200 mg lágy kapszula";"24 X   - buborékcsomagolásban";"OGYI-T-21112/04";"ibuprofen";"Opella Healthcare Commercial Kft.";"M01AE01";"2017-06-15 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"ALGOFLEX-M tabletta";"6x+6 X   - buborékcsomagolásban";"OGYI-T-09775/01";"drotaverine;ibuprofen";"Opella Healthcare Commercial Kft.";"A03ED";"2023-03-07 00:00:00";"2023-03-31 00:00:00";"Gyártási gond";"Ugyanaz a gyógyszer más gyógyszerformában elérhetõ";
"ALKA-SELTZER 324 mg pezsgõtabletta";"10 X   - fóliacsík";"OGYI-T-08081/01";"acetylsalicylic acid";"Bayer Hungária Kft.";"N02BA01";"2013-12-01 00:00:00";"";"Piaci megfontolások";"Ugyanaz a gyógyszer más kiszerelésben elérhetõ";
"ALKALIGEN oldatos infúzió";"1 X 400  ml üvegpalackban";"OGYI-T-03516/01";"sodium hydrogen carbonate";"Teva Gyógyszergyár Zrt.";"B05BB01";"2015-12-03 00:00:00";"2023-12-31 00:00:00";"Gyártási gond";"Kontingens";
"ALLERGODIL oldatos orrspray";"1 X 10 ml üvegben";"OGYI-T-04877/01";"azelastine";"Mylan EPD Kft.";"R01AC03";"2021-03-05 00:00:00";"2021-04-30 00:00:00";"Megnövekedett igény";"Kontingens";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/195";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/196";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/197";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/198";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/199";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/200";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/201";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/202";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/203";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/204";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/185";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/186";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/187";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/188";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/189";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/190";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/191";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/192";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/193";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Atkák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/194";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/166";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/167";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/168";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/169";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/170";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/171";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/172";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/173";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/174";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/175";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/176";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/177";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/178";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/179";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/180";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/181";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/182";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/183";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák fenntartó szuszpenziós injekció";"1 X 5 ml -";"OGYI-T-20461/184";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/147";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/148";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
"ALUSTAL Penészgombák kezdõ szuszpenziós injekció";"4 X 5 ml -";"OGYI-T-20461/149";"allergén kivonat";"Stallergenes";"V01AA20";"2017-11-28 00:00:00";"2019-12-31 00:00:00";"Piaci megfontolások";"Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ";
